Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
870000,1.388973,0.04598966,None,None,None,1.0
880000,1.388901,0.042954788,4999.0,-2.0331330856618783,-2.0331330856618783,1.0
890000,1.3889349,0.040176038,4999.0,-2.083133080198119,-2.083133080198119,1.0
900000,1.3889548,0.03842829,None,None,None,1.0
910000,1.3891762,0.028910967,4999.0,-2.0997997384207943,-2.0997997384207943,1.0
920000,1.3893425,0.02591644,4999.0,-2.0997997239852944,-2.0997997239852944,1.0
930000,1.3889165,0.018144567,None,None,None,1.0
940000,1.3885211,0.0053554685,4999.0,-2.1831330990729234,-2.1831330990729234,1.0
950000,1.3883613,0.006965233,4999.0,-2.083133114967495,-2.083133114967495,1.0
960000,1.3881952,0.0021438836,1046.5555555555557,0.6794000849024289,0.6794000849024289,1.0
970000,1.388656,-0.02091391,1869.6666666666667,-0.49073324057584006,-0.49073324057584006,1.0
980000,1.3892422,-0.025381247,4998.666666666667,-2.316399765239718,-2.316399765239718,1.0
990000,1.388301,-0.020244626,4999.0,-0.9997997567988932,-0.9997997567988932,1.0
1000000,1.386774,-0.0044681914,4999.0,-2.824799752328545,-2.824799752328545,1.0
1010000,1.3862329,-0.0069305124,4999.0,-2.1664663961467645,-2.1664663961467645,1.0
1020000,1.3851547,0.009855718,4999.0,-0.9997997567988932,-0.9997997567988932,1.0
1030000,1.3850098,0.005414986,4999.0,-2.8997997962869704,-2.8997997962869704,1.0
1040000,1.3846518,-0.0022291522,4999.0,-2.2331330836750567,-2.2331330836750567,1.0
1050000,1.3844267,-0.0054377564,4999.0,-0.9997997567988932,-0.9997997567988932,1.0
1060000,1.3836595,-0.004034399,4999.0,-3.024799814913422,-3.024799814913422,1.0
1070000,1.3834167,-0.007305935,4999.0,-2.066466454261293,-2.066466454261293,1.0
1080000,1.382286,-0.01013806,4999.0,-0.9997997567988932,-0.9997997567988932,1.0
1090000,1.3821948,-0.005074983,4999.0,-2.899799703154713,-2.899799703154713,1.0
1100000,1.381595,-0.007449901,4999.0,-2.2664664175050953,-2.2664664175050953,1.0
1110000,1.381598,-0.006874661,4999.0,-0.9997997567988932,-0.9997997567988932,1.0
1120000,1.3815969,-0.0039000239,4999.0,-2.7247996875084937,-2.7247996875084937,1.0
1130000,1.38158,-0.02210181,4930.333333333333,-1.9027331015095115,-1.9027331015095115,1.0
1140000,1.379984,-0.024347352,None,None,None,1.0
1150000,1.379984,-0.007640016,4999.0,-2.1997997051415346,-2.1997997051415346,1.0
1160000,1.3786722,-0.018299043,3223.2,-1.0047198391519487,-1.0047198391519487,1.0
1170000,1.3786032,-0.01581052,1845.0,0.6308001428842545,0.6308001428842545,1.0
1180000,1.3761734,-0.026383067,4998.666666666667,-2.099733047381354,-2.099733047381354,1.0
1190000,1.3759257,-0.027897378,4999.0,-2.799799753818661,-2.799799753818661,1.0
1200000,1.374628,-0.036726627,4999.0,-0.9997997567988932,-0.9997997567988932,1.0
1210000,1.3744202,-0.03181037,4999.0,-1.9164663936632376,-1.9164663936632376,1.0
1220000,1.3737355,-0.035768006,4999.0,-2.4247996457852423,-2.4247996457852423,1.0
1230000,1.3735693,-0.03725417,4999.0,-0.9997997567988932,-0.9997997567988932,1.0
1240000,1.3742452,-0.026867805,4999.0,-1.9164664309161406,-1.9164664309161406,1.0
1250000,1.3744686,-0.02945531,4999.0,-2.4997997195459902,-2.4997997195459902,1.0
1260000,1.37455,-0.062001236,4999.0,-0.9997997567988932,-0.9997997567988932,1.0
1270000,1.3745774,-0.06750159,4999.0,-2.0164664199886224,-2.0164664199886224,1.0
1280000,1.3742318,-0.061644576,4999.0,-2.4247997985221446,-2.4247997985221446,1.0
1290000,1.3740444,-0.06319241,4999.0,-0.9997997567988932,-0.9997997567988932,1.0
1300000,1.373517,-0.06155018,4999.0,-1.8664664065775771,-1.8664664065775771,1.0
1310000,1.3731645,-0.065864906,4999.0,-2.3997997373808175,-2.3997997373808175,1.0
1320000,1.3729486,-0.03861793,4999.0,-0.9997997567988932,-0.9997997567988932,1.0
1330000,1.3727785,-0.05432353,4999.0,-1.933133046918859,-1.933133046918859,1.0
1340000,1.3729374,-0.04708266,3523.6666666666665,-1.4547331944728892,-1.4547331944728892,1.0
1350000,1.3730929,-0.07022576,4999.0,-0.9997997567988932,-0.9997997567988932,1.0
1360000,1.3729241,-0.053168796,4827.0,-1.482066394450764,-1.482066394450764,1.0
1370000,1.3727105,-0.052228667,4999.0,-2.5497996830381453,-2.5497996830381453,1.0
